#ID	Nom	Frequence	Moyen	Utilisation
PY	LE PUY LOUDES	108.5 Mhz CH22X	ILS--DME	A
PYR	PAU PYRENEES	110.1 Mhz CH38X	ILS--DME	A
QPR	QUIMPER PLUGUFFAN	117.8 Mhz CH125X	VOR--DME	E
QR	QUIMPER PLUGUFFAN	110.3 Mhz CH40X	ILS--DME	A
RB	AJACCIO NAPOLEON BONAPARTE	365 Khz	L	A
RBT	RAMBOUILLET--Les Bordes	114.7 Mhz CH94X	VOR--DME	E
RC	REIMS CHAMPAGNE	110.1 Mhz	ILS	A
RDE	RODEZ MARCILLAC	110.75 Mhz CH44Y	ILS--DME	A
REM	REIMS CHAMPAGNE	112.3 Mhz CH70X	VORTAC	AE
REN	RENNES SAINT JACQUES	109.25 Mhz CH29Y	VOR--DME	AE
RGE	PARIS LE BOURGET	110.55 Mhz CH42Y	ILS--DME	A
RH	BRIVE LA ROCHE	326 Khz	L	A
RH	BRIVE LA ROCHE	109.5 Mhz	ILS	A
RL	LA ROCHELLE ILE DE RE	322 Khz	L	A
RL	LA ROCHELLE ILE DE RE	109.55 Mhz CH32Y	ILS--DME	A
RLP	ROLAMPONT	117.3 Mhz CH120X	VOR--DME	E
RM	BERGERAC ROUMANIERE	108.15 Mhz CH18Y	ILS--DME	A
RN	ROUEN VALLEE DE SEINE	110.5 Mhz CH42X	ILS--DME	A
RNN	ROANNE RENAISON	358 Khz	L	A
ROA	ROANNE RENAISON	109.2 Mhz	VOR	AE
ROC	ROCHEFORT SAINT AGNANT	396 Khz	L	A
ROC	ROCHEFORT SAINT AGNANT	110.5 Mhz	ILS	A
ROM	RODEZ MARCILLAC	302 Khz	L	A
ROU	ROUEN VALLEE DE SEINE	116.8 Mhz	VOR	AE
RQ	QUIMPER PLUGUFFAN	380 Khz	L	A
RS	RENNES SAINT JACQUES	349 Khz	L	A
RS	RENNES SAINT JACQUES	110.1 Mhz CH38X	ILS--DME	A
RSO	PARIS CHARLES DE GAULLE	364 Khz	L	A
RSY	PARIS CHARLES DE GAULLE	356 Khz	L	A
RTN	ROMORANTIN PRUNIERS	301 Khz	NDB	A
RY	ROYAN MEDIS	427 Khz	L	A
RZ	RODEZ MARCILLAC	387 Khz	L	A
SAL	SAINTE LEOCADIE	418 Khz	L	A
SAL	SALON DE PROVENCE	334 Khz	NDB	A
